date,ticker,open,high,low,close,volume
2026-01-08,AAPL,46.78,47.75,46.44,47.21,22724945
2026-01-08,MSFT,339.85,342.81,335.47,335.59,12810695
2026-01-08,NVDA,27.68,27.68,27.05,27.06,31199201
2026-01-08,GOOGL,91.06,91.94,91.06,91.52,15705906
2026-01-08,META,248.21,248.95,241.55,246.85,111931582
2026-01-08,AMZN,98.06,98.73,93.9,95.11,51661625
2026-01-08,CRM,106.47,108.12,106.33,107.86,57875200
2026-01-08,ORCL,111.97,112.37,111.04,112.27,21778174
2026-01-08,ADBE,387.62,391.19,387.38,390.75,274064955
2026-01-08,INTC,13.52,13.53,13.08,13.09,25231792
2026-01-08,JNJ,152.14,155.92,151.41,154.76,1759762
2026-01-08,UNH,635.69,677.74,634.36,677.1,99008269
2026-01-08,PFE,25.28,25.36,24.12,24.2,36097925
2026-01-08,ABBV,150.67,150.71,149.51,149.87,44328397
2026-01-08,MRK,106.39,108.95,105.65,108.83,108101709
2026-01-08,TMO,840.96,865.6,831.82,862.15,28107114
2026-01-08,JPM,53.58,55.48,53.58,54.43,49654600
2026-01-08,BAC,62.52,62.52,62.19,62.3,75336232
2026-01-08,GS,664.04,678.13,663.38,674.51,4214785
2026-01-08,MS,37.76,38.87,37.4,38.78,76459518
2026-01-08,BLK,400.53,403.22,393.83,394.12,16050414
2026-01-08,V,217.23,218.39,213.92,214.51,4117533
2026-01-08,PG,156.44,160.37,154.5,157.56,84899882
2026-01-08,KO,41.84,42.06,41.75,41.77,70533904
2026-01-08,PEP,192.51,193.79,191.06,193.08,200277664
2026-01-08,COST,398.86,403.31,391.64,393.94,51783223
2026-01-08,WMT,123.53,128.91,123.53,127.3,12287845
2026-01-08,MCD,306.53,312.53,306.1,312.52,41816894
2026-01-08,NKE,75.56,75.56,74.6,74.6,183169724
2026-01-08,SBUX,114.62,115.6,114.11,114.35,32095755
2026-01-08,XOM,22.06,22.75,22.06,22.74,96961214
2026-01-08,CVX,87.91,87.91,87.42,87.59,7243617
2026-01-08,COP,152.14,154.52,146.37,148.86,74619333
2026-01-08,SLB,28.92,28.92,28.74,28.74,15799042
2026-01-08,CAT,264.91,266.18,263.88,265.08,58084353
2026-01-08,BA,194.28,194.5,185.98,188.66,42049670
2026-01-08,UNP,136.65,137.78,135.98,137.69,11074390
2026-01-08,HON,166.21,168.43,161.97,164.43,47072978
2026-01-08,DE,250.09,254.25,247.73,249.48,25293375
2026-01-08,AMT,143.61,144.01,140.02,140.47,146439190
2026-01-08,NEE,55.68,57.37,55.6,57.0,151495412
2026-01-08,DUK,96.1,97.16,96.02,97.12,95064079
2026-01-08,SO,59.68,61.11,59.06,60.56,11726999
2026-01-08,LIN,339.55,342.21,332.74,335.84,5612436
2026-01-08,APD,401.36,409.22,401.36,405.39,16950737
2026-01-08,DIS,108.54,109.07,106.89,107.05,74847899
2026-01-08,NFLX,274.87,276.97,270.79,272.25,78396131
2026-01-08,T,19.6,19.89,19.37,19.83,58844332
2026-01-08,TMUS,64.42,66.36,64.4,66.35,41871140
2026-01-08,PYPL,28.92,29.09,28.73,28.86,30531221
